question,answer,id
Who has the right to meet an advocate of his choice during interrogation as per Section 41D?,An arrested person has the right to meet an advocate of his choice during interrogation as per Section 41D.,
What is the consequence of refusing to give name and residence according to section 42?,"According to section 42, if a person refuses to give their name and residence, they can be arrested.",
What can happen to a person if they refuse to provide their name and residence according to section 42?,They can be arrested.,
What is the procedure on arrest by a private person as per section 43?,Section 43 details the procedure to be followed when a private person makes an arrest.,
Which section details the procedure to be followed when a private person makes an arrest?,Section 43,
What does section 44 discuss?,Section 44 discusses arrest by a Magistrate.,
Which section discusses arrest by a Magistrate?,Section 44 discusses arrest by a Magistrate.,
What protection is outlined in section 45?,Section 45 outlines the protection of members of the Armed Forces from arrest.,
Who are protected from arrest as outlined in Section 45?,Members of the Armed Forces are protected from arrest as outlined in Section 45.,
What is detailed in section 46?,Section 46 details how an arrest is made.,
Which section details how an arrest is made?,Section 46 details how an arrest is made.,
What does section 47 discuss?,Section 47 discusses the search of a place entered by a person sought to be arrested.,
Which section discusses the search of a place entered by a person sought to be arrested?,Section 47 discusses the search of a place entered by a person sought to be arrested.,
What does section 48 detail?,Section 48 details the pursuit of offenders into other jurisdictions.,
What does the pursuit of offenders into other jurisdictions refer to in the context of legal sections?,"In the context of legal sections, the pursuit of offenders into other jurisdictions refers to Section 48.",
What is mentioned in section 49?,Section 49 mentions that there should be no unnecessary restraint.,
Which section mentions that there should be no unnecessary restraint?,Section 49 mentions that there should be no unnecessary restraint.,
What rights are informed to a person arrested as per section 50?,"According to section 50, a person arrested must be informed of the grounds of their arrest and of their right to bail.",
What must a person be informed of according to section 50 when they are arrested?,"According to section 50, a person arrested must be informed of the grounds of their arrest and of their right to bail.",
What is the obligation of the person making an arrest according to section 50A?,"According to section 50A, the person making the arrest has an obligation to inform about the arrest, etc., to a nominated person.",
What does section 50A state about the responsibilities of a person making an arrest?,"Section 50A states that the person making the arrest has the obligation to inform about the arrest, etc., to a nominated person.",
What does section 51 detail?,Section 51 details the search of an arrested person.,
What does Section 51 detail about an arrested person?,Section 51 details the search of an arrested person.,
What power is mentioned in section 52?,Section 52 mentions the power to seize offensive weapons.,
Which section mentions the power to seize offensive weapons?,The power to seize offensive weapons is mentioned in section 52.,
What does the law state under 53 regarding examinations of the accused?,Examination of accused by medical practitioner at the request of police officer.,
Who is allowed to examine the accused at the request of a police officer under law 53?,A medical practitioner.,
What does the law state under 53A regarding examinations of the accused?,Examination of person accused of rape by medical practitioner.,
Who is allowed to examine a person accused of rape according to law 53A?,A medical practitioner.,
What does the law state under 54A regarding identification of arrested persons?,Identification of person arrested.,
What is the topic addressed by section 54A of the law?,Identification of person arrested.,
What does the law state under 55A regarding health and safety of arrested person?,Health and safety of arrested person.,
What is the subject of law under 55A?,Health and safety of arrested person.,
What does the law state under 57 regarding detention period of an arrested person?,Person arrested not to be detained more than twenty-four hours.,
What is the maximum detention period for an arrested person under law 57?,Twenty-four hours,
What does the law state under 60A regarding the manner of making an arrest?,Arrest to be made strictly according to the Code.,
What should be followed strictly when making an arrest under 60A?,The law states that the arrest should be made strictly according to the Code.,
What does the law state under 61 regarding the form of summons?,Form of summons.,
What is the term used for the prescribed format under law 61 regarding summons?,Form of summons,
What does the law state under 63 regarding service of summons on corporate bodies and societies?,Service of summons on corporate bodies and societies.,
What is the term for the legal requirement under law 63 for corporate bodies and societies?,Service of summons,
What does the law state under 65 when service cannot be effected as before provided?,Procedure when service cannot be effected as before provided.,
"What is the term for the process under the law if service cannot be effected as previously provided, according to section 65?",Procedure when service cannot be effected as before provided.,
What does Section 67 specify?,Service of summons outside local limits.,
Which section specifies the service of summons outside local limits?,Section 67,
What does Section 68 deal with?,Proof of service in such cases and when serving officer not present.,
Which section deals with the proof of service in cases where the serving officer is not present?,Section 68,
What does Section 69 pertain to?,Service of summons on witness by post.,
Which section pertains to the service of summons on witness by post?,Section 69,
What does Section 70 describe?,Form of warrant of arrest and duration.,
Which section describes the form of warrant of arrest and duration?,Section 70,
What does Section 71 give power to?,Power to direct security to be taken.,
What does the power to direct security to be taken refer to in legal terms?,It refers to Section 71.,
Who are the warrants directed to according to Section 72?,Warrants to whom directed.,
What is the title of Section 72 that discusses to whom the warrants are directed?,Warrants to whom directed,
What does Section 73 allow?,Warrant may be directed to any person.,
What section allows a warrant to be directed to any person?,Section 73,
What does Section 74 relate to?,Warrant directed to police officer.,
Which section is related to a warrant directed to a police officer?,Section 74,
What does Section 75 notify?,Notification of substance of warrant.,
What does the Notification of substance of warrant correspond to?,Section 75,
What does Section 76 mandate?,Person arrested to be brought before Court without delay.,
Which legal section mandates that a person arrested must be brought before Court without delay?,Section 76,
What does Section 77 state about the execution of warrants?,Where warrant may be executed.,
What is the subject matter of Section 77 regarding the handling of warrants?,Section 77 states about where warrant may be executed.,
What does Section 78 pertain to?,Warrant forwarded for execution outside jurisdiction.,
Which section pertains to a warrant forwarded for execution outside jurisdiction?,Section 78,
Who is the warrant directed to for execution outside jurisdiction according to Section 79?,Warrant directed to police officer for execution outside jurisdiction.,
Who is the warrant directed to for execution outside jurisdiction according to Section 79?,Warrant directed to police officer for execution outside jurisdiction.,
What is the procedure on arrest of person against whom warrant issued according to Section 80?,Procedure on arrest of person against whom warrant issued.,
What does Section 80 detail regarding the arrest of a person for whom a warrant has been issued?,Section 80 details the procedure on arrest of person against whom warrant issued.,
What is the procedure by Magistrate before whom such person arrested is brought according to Section 81?,Procedure by Magistrate before whom such person arrested is brought.,
What does Section 81 specify about the procedure by Magistrate before whom such person arrested is brought?,Section 81 specifies the Procedure by Magistrate before whom such person arrested is brought.,
What does Section 82 call for?,Proclamation for person absconding.,
Which section calls for a proclamation for a person absconding?,Section 82,
What does Section 83 pertain to?,Attachment of property of person absconding.,
Which section pertains to the attachment of property of person absconding?,Section 83,
What are the claims and objections to attachment according to Section 84?,Claims and objections to attachment.,
What is the term used to describe the doubts and assertions related to attachment according to Section 84?,Claims and objections to attachment.,
What does Section 85 deal with?,"Release, sale and",
"What section deals with release, sale and?",Section 85,
What is the appeal process for the restoration of attached property?,The appeal from order rejecting application for restoration of attached property is mentioned in rule 86.,
What rule mentions the appeal from order rejecting application for restoration of attached property?,Rule 86,
What is rule 87 about?,"Rule 87 is about the issue of warrant in lieu of, or in addition to, summons.",
"Which rule is about the issue of warrant in lieu of, or in addition to, summons?","Rule 87 is about the issue of warrant in lieu of, or in addition to, summons.",
What power is discussed in rule 88?,Rule 88 discusses the power to take bond for appearance.,
Which rule discusses the power to take bond for appearance?,Rule 88 discusses the power to take bond for appearance.,
What is rule 90 about?,Rule 90 discusses the provisions of this Chapter generally applicable to summonses and warrants of arrest.,
Which rule discusses the provisions of this Chapter generally applicable to summonses and warrants of arrest?,Rule 90,
What does rule 91 state?,Rule 91 is about the summons to produce document or other thing.,
Which rule is about the summons to produce document or other thing?,Rule 91 is about the summons to produce document or other thing.,
What is rule 93 about?,Rule 93 discusses when a search-warrant may be issued.,
Which rule discusses when a search-warrant may be issued?,Rule 93 discusses when a search-warrant may be issued.,
What is the subject of rule 95?,Rule 95 is about the power to declare certain publications forfeited and to issue search-warrants for the same.,
Which rule is about the power to declare certain publications forfeited and to issue search-warrants for the same?,Rule 95,
What is covered under rule 97?,Rule 97 is about the search for persons wrongfully confined.,
Which rule is about the search for persons wrongfully confined?,Rule 97 is about the search for persons wrongfully confined.,
What power is mentioned in rule 98?,Rule 98 discusses the power to compel restoration of abducted females.,
Which rule discusses the power to compel restoration of abducted females?,Rule 98,
What does section 99 cover?,"Direction, etc., of search-warrants.",
"What is covered under 'Direction, etc., of search-warrants'?",Section 99,
What is the subject of section 100?,Persons in charge of closed place to allow search.,
Which section talks about 'Persons in charge of closed place to allow search'?,Section 100,
What is covered in section 101?,Disposal of things found in search beyond jurisdiction.,
Which section covers the disposal of things found in search beyond jurisdiction?,Section 101,
What is the purpose of section 102?,Power of police officer to seize certain property.,
Which section pertains to the power of a police officer to seize certain property?,Section 102,
What does section 103 permit?,Magistrate may direct search in his presence.,
Who is permitted to direct a search in their presence according to section 103?,A Magistrate,
What is the function of section 104?,"Power to impound document, etc., produced.",
"Which section gives the power to impound document, etc., produced?",Section 104,
What is section 105 about?,Reciprocal arrangements regarding processes.,
What does 'Reciprocal arrangements regarding processes' refer to?,Section 105,
What definitions are provided in section 105A?,The section 105A provides certain definitions.,
What does section 105A provide?,Section 105A provides certain definitions.,
What does section 105B facilitate?,Assistance in securing transfer of persons.,
What is facilitated by assistance in securing transfer of persons?,Section 105B,
What procedure does section 105C assist in?,Assistance in relation to orders of attachment or forfeiture of property.,
Which section provides assistance in relation to orders of attachment or forfeiture of property?,Section 105C,
What is the purpose of section 105D?,Identifying unlawfully acquired property.,
Which section is responsible for identifying unlawfully acquired property?,Section 105D,
What does section 105E cover?,Seizure or attachment of property.,
Which section covers the seizure or attachment of property?,Section 105E,
What does section 105F manage?,Management of properties seized or forfeited under this Chapter.,
Under which section are properties that are seized or forfeited managed?,Section 105F,
What notice does section 105G provide?,Notice of forfeiture of property.,
Which section provides the Notice of forfeiture of property?,Section 105G,
What does section 105H cover?,Forfeiture of property in certain cases.,
Which section covers the forfeiture of property in certain cases?,Section 105H,
What is section 105-I about?,Fine in lieu of forfeiture.,
What does 'Fine in lieu of forfeiture' refer to in the context of law?,It refers to section 105-I.,
What does section 105J declare?,Certain transfers to be null and void.,
Which section declares certain transfers to be null and void?,Section 105J,
What is procedure 5K about?,Procedure in respect of letter of request.,
Which procedure is in respect of a letter of request?,Procedure 5K,
What does 105L refer to?,Application of this Chapter.,
What is the term for the 'Application of this Chapter'?,105L,
What is the purpose of section 106?,Security for keeping the peace on conviction.,
What does section 106 provide security for?,Keeping the peace on conviction,
What does section 107 entail?,Security for keeping the peace in other cases.,
Which section entails the security for keeping the peace in other cases?,Section 107,
What is the focus of section 108?,Security for good behaviour from persons disseminating seditious matters.,
What does section 108 focus on in relation to persons disseminating seditious matters?,Security for good behaviour,
What does section 109 concern?,Security for good behaviour from suspected persons.,
Which section concerns security for good behaviour from suspected persons?,Section 109,
What does section 110 deal with?,Security for good behaviour from habitual offenders.,
Which section deals with security for good behaviour from habitual offenders?,Section 110,
What is the purpose of section 111?,Order to be made.,
What happens in section 111?,Order to be made.,
What does section 112 refer to?,Procedure in respect of person present in Court.,
Which section refers to the procedure in respect of person present in Court?,Section 112,
What is section 113 about?,Summons or warrant in case of person not so present.,
Which section is about 'Summons or warrant in case of person not so present'?,Section 113,
What does section 114 entail?,Copy of order to accompany summons or warrant.,
Which section entails that a copy of order must accompany summons or warrant?,Section 114,
What is the focus of section 115?,Power to dispense with personal attendance.,
Which section focuses on the power to dispense with personal attendance?,Section 115,
What does section 116 concern?,Inquiry as to truth of information.,
Which section is concerned with the inquiry as to truth of information?,Section 116,
What does section 117 deal with?,Order to give security.,
Which section deals with 'Order to give security'?,Section 117,
What is the purpose of section 118?,Discharge of person informed against.,
Which section is about the discharge of person informed against?,Section 118,
What does section 119 refer to?,Commencement of period for which security is required.,
Which section refers to the commencement of period for which security is required?,Section 119,
What is section 120 about?,Contents of bond.,
Which section is about the contents of bond?,Section 120,
What does section 121 entail?,Power to reject sureties.,
Which section entails the power to reject sureties?,Section 121,
What is the focus of section 122?,Imprisonment in default of security.,
Which section focuses on 'Imprisonment in default of security'?,Section 122,
What does section 123 concern?,Power to release persons imprisoned for fail.,
Which section concerns the power to release persons imprisoned for fail?,Section 123,
What is covered under Chapter IX?,"Order for maintenance of wives, children and parents",
"Which chapter covers the order for maintenance of wives, children and parents?",Chapter IX,
What is the purpose of section 125?,"Order for maintenance of wives, children and parents",
"Which legal section provides the order for maintenance of wives, children and parents?",Section 125,
What is addressed in Chapter X?,Maintenance of public order and tranquillity,
Which chapter discusses the maintenance of public order and tranquillity?,Chapter X,
What does section 129 entail?,Dispersal of assembly by use of civil force,
Which section involves the dispersal of assembly by use of civil force?,Section 129,
What is the function of section 133?,Conditional order for removal of nuisance,
Which section provides for a conditional order for removal of nuisance?,Section 133,
What does section 139 describe?,Power of Magistrate to direct local investigation and examination,
Which section describes the power of a Magistrate to direct local investigation and examination?,Section 139,
What is the power of the Magistrate according to section 140?,"The Magistrate has the power to furnish written instructions, etc.",
Who has the power to furnish written instructions according to section 140?,The Magistrate has the power to furnish written instructions.,
What happens when an order is made absolute according to section 141?,The procedure on the order being made absolute and consequences of disobedience are followed.,
What is followed when an order is made absolute according to section 141?,The procedure on the order being made absolute and consequences of disobedience are followed.,
What can a Magistrate do in the case of a public nuisance according to section 143?,The Magistrate may prohibit repetition or continuance of public nuisance.,
What action may a Magistrate take to prevent the repetition or continuance of a public nuisance?,"According to section 143, the Magistrate can prohibit the repetition or continuance of public nuisance.",
What power does section 144 give in urgent cases of nuisance or apprehended danger?,Section 144 gives the power to issue order in urgent cases of nuisance or apprehended danger.,
What does Section 144 allow to be issued in urgent cases of nuisance or apprehended danger?,Section 144 gives the power to issue an order in urgent cases of nuisance or apprehended danger.,
What does section 144A prohibit?,Section 144A gives the power to prohibit carrying arms in procession or mass drill or mass training with arms.,
Which section gives the power to prohibit carrying arms in procession or mass drill or mass training with arms?,Section 144A,
What procedure is followed when a dispute concerning land or water is likely to cause breach of peace according to section 145?,The procedure where dispute concerning land or water is likely to cause breach of peace is followed.,
What is the section that guides the procedure where a dispute concerning land or water is likely to cause a breach of peace?,Section 145 guides the procedure where a dispute concerning land or water is likely to cause a breach of peace.,
What can be done in a dispute concerning right of use of land or water according to section 147?,"In a dispute concerning right of use of land or water, the provisions of section 147 are followed.",
What provisions are followed in a dispute concerning right of use of land or water?,The provisions of section 147 are followed.,
What is the role of the police in preventing cognizable offences according to section 149?,"According to section 149, it's the duty of the Police to prevent cognizable offences.",
Whose duty is it to prevent cognizable offences according to section 149?,It's the duty of the Police to prevent cognizable offences according to section 149.,
What does section 151 entail in terms of preventing the commission of cognizable offences?,Section 151 entails arrest to prevent the commission of cognizable offences.,
What is entailed in section 151 in relation to the prevention of cognizable offences?,Section 151 entails arrest to prevent the commission of cognizable offences.,
What does section 152 aim to prevent?,Section 152 aims to prevent injury to public property.,
Which section aims to prevent injury to public property?,Section 152 aims to prevent injury to public property.,
What is covered in Chapter XII?,Chapter XII covers information to the police and their powers to investigate.,
Which chapter covers information to the police and their powers to investigate?,Chapter XII covers information to the police and their powers to investigate.,
What does section 154 concern?,Section 154 concerns information in cognizable cases.,
Which section concerns information in cognizable cases?,Section 154 concerns information in cognizable cases.,
What is the subject of section 155?,Section 155 pertains to information as to non-cognizable cases and investigation of such cases.,
What does section 155 pertain to?,Section 155 pertains to information as to non-cognizable cases and investigation of such cases.,
What does section 156 describe?,Section 156 describes the police officer’s power to investigate cognizable cases.,
Which section describes the police officer’s power to investigate cognizable cases?,Section 156 describes the police officer’s power to investigate cognizable cases.,
What is the topic of section 157?,Section 157 deals with the procedure for investigation.,
Which section deals with the procedure for investigation?,Section 157 deals with the procedure for investigation.,
What information is provided in section 158?,Section 158 provides information on how to submit a report.,
Which section provides information on how to submit a report?,Section 158 provides information on how to submit a report.,
What does section 159 concern?,Section 159 concerns the power to hold investigation or preliminary inquiry.,
What does the power to hold investigation or preliminary inquiry refer to in legal terms?,"In legal terms, the power to hold investigation or preliminary inquiry refers to Section 159.",
What does section 160 discuss?,Section 160 discusses the police officer’s power to require attendance of witnesses.,
Which section discusses the police officer’s power to require attendance of witnesses?,Section 160 discusses the police officer’s power to require attendance of witnesses.,
What is the subject of section 161?,Section 161 pertains to the examination of witnesses by police.,
What does section 161 pertain to?,The examination of witnesses by police.,
What does section 162 cover?,Section 162 covers statements to police not to be signed and the use of statements in evidence.,
Which section covers statements to police not to be signed and the use of statements in evidence?,Section 162 covers statements to police not to be signed and the use of statements in evidence.,
What is addressed in section 163?,Section 163 addresses that no inducement is to be offered.,
Which section addresses that no inducement is to be offered?,Section 163 addresses that no inducement is to be offered.,
What information is given in section 164?,Section 164 gives information on the recording of confessions and statements.,
What does Section 164 provide information on?,Section 164 provides information on the recording of confessions and statements.,
What does section 164A concern?,Section 164A concerns the medical examination of the victim of rape.,
Which section concerns the medical examination of the victim of rape?,Section 164A concerns the medical examination of the victim of rape.,
What is the subject of section 165?,Section 165 is about search by a police officer.,
Which section is about search by a police officer?,Section 165 is about search by a police officer.,
What is covered in section 166?,Section 166 covers when an officer in charge of a police station may require another to issue a search-warrant.,
Which section of the law covers when an officer in charge of a police station may require another to issue a search-warrant?,Section 166 covers when an officer in charge of a police station may require another to issue a search-warrant.,
What does section 166A discuss?,Section 166A discusses a letter of request to a competent authority for investigation in a country or place outside India.,
Which section discusses a letter of request to a competent authority for investigation in a country or place outside India?,Section 166A discusses a letter of request to a competent authority for investigation in a country or place outside India.,
What is the topic of section 166B?,Section 166B deals with a letter of request from a country or place outside India.,
Which section deals with a letter of request from a country or place outside India?,Section 166B deals with a letter of request from a country or place outside India.,
What is the procedure when an investigation cannot be completed in twenty-four hours?,167. Procedure when investigation cannot be completed in twenty-four hours.,
What does the number 167 refer to in the context of procedures for investigations?,167 refers to the procedure when an investigation cannot be completed in twenty-four hours.,
What happens if the evidence is deficient for an accused person?,169. Release of accused when evidence deficient.,
What is the procedure when the evidence against an accused person is not sufficient?,169. Release of accused when evidence deficient.,
Where should cases be sent when evidence is sufficient?,"170. Cases to be sent to Magistrate, when evidence is sufficient.",
What is the exact law or rule that indicates where cases should be sent when evidence is sufficient?,"170. Cases to be sent to Magistrate, when evidence is sufficient.",
Are complainants and witnesses required to accompany police officers?,171. Complainant and witnesses not to be required to accompany police officer and not to be subjected to restraint.,
Who should not be required to accompany a police officer and not be subjected to restraint?,Complainant and witnesses,
What does the police do upon completion of an investigation?,173. Report of police officer on completion of investigation.,
What is the 173rd report of a police officer related to?,The 173rd report of a police officer is related to the completion of an investigation.,
What is the power of the court regarding summoning persons?,175. Power to summon persons.,
What is the number associated with the power of the court to summon persons?,175,
Who inquires into the cause of death?,176. Inquiry by Magistrate into cause of death.,
What is the role of the Magistrate in regards to death?,The Magistrate inquires into the cause of death.,
Where is the ordinary place of inquiry and trial?,177. Ordinary place of inquiry and trial.,
What is the designation for the ordinary place of inquiry and trial?,177,
Where can an offence be triable?,179. Offence triable where act is done or consequence ensues.,
What is the law number that states an offence is triable where the act is done or consequence ensues?,179,
What is the place of trial in case of certain offences?,181. Place of trial in case of certain offences.,
What is the numerical designation for the legal statute regarding the place of trial in case of certain offences?,181,
What is the content of section 182?,"Offences committed by letters, etc.",
"Which section covers offences committed by letters, etc.?",Section 182,
What does section 183 refer to?,Offence committed on journey or voyage.,
Which section refers to the offence committed on a journey or voyage?,Section 183,
What is section 184 about?,Place of trial for offences triable together.,
Which section is about 'Place of trial for offences triable together'?,Section 184,
What does section 185 state?,Power to order cases to be tried in different sessions divisions.,
Which section states the power to order cases to be tried in different sessions divisions?,Section 185,
What is the content of section 186?,"High Court to decide, in case of doubt, district where inquiry or trial shall take place.",
"Which section of the law states that the High Court will decide, in case of doubt, the district where an inquiry or trial shall take place?",Section 186,
What does section 187 refer to?,Power to issue summons or warrant for offence committed beyond local jurisdiction.,
Which section refers to the power to issue summons or warrant for offence committed beyond local jurisdiction?,Section 187,
What is section 188 about?,Offence committed outside India.,
Which section is about offences committed outside India?,Section 188,
What does section 189 state?,Receipt of evidence relating to offences committed outside India.,
Which section states about the receipt of evidence relating to offences committed outside India?,Section 189,
What is the content of section 190?,Cognizance of offences by Magistrates.,
Which section contains information about 'Cognizance of offences by Magistrates'?,Section 190,
What does section 191 refer to?,Transfer on application of the accused.,
Which section refers to the 'Transfer on application of the accused'?,Section 191,
What is section 192 about?,Making over of cases to Magistrates.,
Which section is about making over of cases to Magistrates?,Section 192,
What does section 193 state?,Cognizance of offences by Courts of Session.,
Which section states about the 'Cognizance of offences by Courts of Session'?,Section 193,
What is the content of section 194?,Additional and Assistant Sessions Judges to try cases made over to them.,
Which section contains information about Additional and Assistant Sessions Judges trying cases made over to them?,Section 194,
What does section 195 refer to?,"Prosecution for contempt of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence.",
"Which section refers to the prosecution for contempt of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence?",Section 195,
What is the procedure for witnesses in case of threatening referred to as in the legal context?,195A,
What is the legal term '195A' referring to in the context of witnesses in case of threatening?,The procedure for witnesses in case of threatening,
What is the legal term for the prosecution of judges and public servants?,197,
What numerical value represents the legal term for the prosecution of judges and public servants?,197,
What code refers to the Prosecution for offences against marriage?,198,
What does the code 198 refer to in the context of legal offences?,Prosecution for offences against marriage,
What is the prosecution of offences under section 498A of the Indian Penal Code referred to as?,198A,
Which section of the Indian Penal Code is referred to as 198A for the prosecution of offences?,Section 498A,
What section refers to the prosecution for defamation?,199,
What does section 199 refer to?,Prosecution for defamation,
What is the term for the examination of complainant?,200,
What is the numerical value associated with the term for the examination of a complainant?,200,
What code refers to the procedure by Magistrate not competent to take cognizance of the case?,201,
What does the code 201 refer to in the context of a magistrate's competence to take cognizance of a case?,It refers to the procedure by Magistrate not competent to take cognizance of the case.,
What is the legal term for the postponement of issue of process?,202,
What is the number that represents the legal term for the postponement of issue of process?,202,
What law refers to the dismissal of a complaint?,203,
What is the number of the law that refers to the dismissal of a complaint?,203,
What section refers to the issue of process?,204,
What is the number of the section that refers to the issue of process?,204,
What section refers to a Magistrate being able to dispense with personal attendance of accused?,205,
What does section 205 refer to in the context of a Magistrate's court proceedings?,It refers to a Magistrate being able to dispense with personal attendance of accused,
What is the special summons in cases of petty offence referred to as?,206,
What number is associated with the special summons in cases of petty offence?,206,
What code refers to the supply to the accused of copy of police report and other documents?,207,
What does the code 207 refer to in legal proceedings?,The supply to the accused of copy of police report and other documents,
What section refers to the supply of copies of statements and documents to accused in other cases triable by Court of Session?,208,
What does section 208 refer to in cases triable by Court of Session?,The supply of copies of statements and documents to accused in other cases,
What is the commencement of proceedings before magistrates referred to as?,209,
What does the number 209 refer to in the context of proceedings before magistrates?,The commencement of proceedings,
What is the content of section 210 in this legal text?,Procedure to be followed when there is a complaint case and police investigation in respect of the same offence.,
Which section of this legal text describes the procedure to be followed when there is a complaint case and police investigation in respect of the same offence?,Section 210,
What does section 211 refer to?,Contents of charge.,
Which section refers to the 'Contents of charge'?,Section 211,
What information is provided in section 212?,"Particulars as to time, place and person.",
"Which section provides particulars as to time, place and person?",Section 212,
What is explained in section 213?,When manner of committing offence must be stated.,
In which section is 'When manner of committing offence must be stated' explained?,Section 213,
What does section 214 state?,Words in charge taken in sense of law under which offence is punishable.,
Under which section is the law that states 'Words in charge taken in sense of law under which offence is punishable'?,Section 214,
What is the focus of section 215?,Effect of errors.,
Which section focuses on the effect of errors?,Section 215,
What is discussed in section 216?,Court may alter charge.,
Which section discusses the court's ability to alter charges?,Section 216,
What does section 217 refer to?,Recall of witnesses when charge altered.,
What does 'Recall of witnesses when charge altered' refer to in the legislation?,It refers to section 217.,
What does section 218 state about charges?,Separate charges for distinct offences.,
What does 'separate charges for distinct offences' refer to in the context of legal sections?,It refers to section 218.,
What does section 219 state?,Three offences of same kind within year may be charged together.,
Which section states that three offences of the same kind within a year may be charged together?,Section 219,
What does section 220 pertain to?,Trial for more than one offence.,
Which section pertains to the trial for more than one offence?,Section 220,
What does section 221 deal with?,Where it is doubtful what offence has been committed.,
Which section deals with situations where it is doubtful what offence has been committed?,Section 221,
What does section 222 determine?,When offence proved included in offence charged.,
What is determined by the proof of an offence included in the offence charged?,Section 222 determines this.,
What does section 223 define?,What persons may be charged jointly.,
Which section defines what persons may be charged jointly?,Section 223,
What is the implication of section 224?,Withdrawal of remaining charges on conviction on one of several charges.,
