question,answer
What action can the President take if he deems it necessary?,The President can promulgate such Ordinances as the circumstances appear to him to require.
What can the President do if the circumstances appear to him to require?,The President can promulgate such Ordinances as he deems necessary.
What impact does an Ordinance promulgated under this article have?,An Ordinance promulgated under this article shall have the same force and effect as an Act of Parliament.
What is the force and effect of an Ordinance promulgated under a certain article?,It has the same force and effect as an Act of Parliament.
What happens to an ordinance after it is laid before both Houses of Parliament?,"The ordinance shall cease to operate at the expiration of six weeks from the reassembly of Parliament, or, if before the expiration of that period resolutions disapproving it are passed by both Houses, upon the passing of the second of those resolutions."
"How long does an ordinance operate after being laid before both Houses of Parliament, and what could cause it to cease operation before this period?","The ordinance operates for six weeks from the reassembly of Parliament, but if resolutions disapproving it are passed by both Houses before the expiration of this period, it ceases to operate upon the passing of the second of those resolutions."
Can an ordinance be withdrawn?,"Yes, an ordinance may be withdrawn at any time by the President."
Who has the authority to withdraw an ordinance at any time?,The President has the authority to withdraw an ordinance at any time.
What happens if an Ordinance makes a provision that Parliament would not be competent to enact?,"If an Ordinance under this article makes any provision which Parliament would not under this Constitution be competent to enact, it shall be void."
What would be the consequence if an Ordinance under the Constitution makes any provision which Parliament would not be competent to enact?,It shall be void.
What is the Supreme Court of India comprised of?,"The Supreme Court of India consists of a Chief Justice of India and, until Parliament by law prescribes a larger number, of not more than seven other Judges."
"What is the maximum number of Judges, including the Chief Justice, that the Supreme Court of India can have according to law?","The Supreme Court of India can have a maximum of eight Judges including the Chief Justice, unless Parliament prescribes a larger number."
How is a Judge of the Supreme Court appointed?,Every Judge of the Supreme Court is appointed by the President by warrant under his hand and seal on the recommendation of the National Judicial Appointments Commission.
Who appoints every Judge of the Supreme Court and under whose recommendation?,The President appoints every Judge of the Supreme Court under his hand and seal on the recommendation of the National Judicial Appointments Commission.
How long does a Judge of the Supreme Court hold office?,A Judge of the Supreme Court shall hold office until he attains the age of sixty-five years.
Until what age does a Judge of the Supreme Court hold office?,A Judge of the Supreme Court holds office until he attains the age of sixty-five years.
How can a Judge of the Supreme Court resign his office?,A Judge may resign his office by writing under his hand addressed to the President.
To whom should a Judge of the Supreme Court address his resignation letter?,A Judge should address his resignation letter to the President.
How can a Judge of the Supreme Court be removed from his office?,A Judge may be removed from his office in the manner provided in clause (4).
In which clause is the manner for removing a Judge of the Supreme Court from his office provided?,The manner for removing a Judge is provided in clause (4).
How is the age of a Judge of the Supreme Court determined?,The age of a Judge of the Supreme Court shall be determined by such authority and in such manner as Parliament may by law provide.
Who determines the age of a Judge of the Supreme Court and in what manner?,The age of a Judge of the Supreme Court is determined by such authority and in such manner as Parliament may by law provide.
What are the qualifications for appointment as a Judge of the Supreme Court in India?,"A person shall not be qualified for appointment as a Judge of the Supreme Court unless he is a citizen of India and— (a) has been for at least five years a Judge of a High Court or of two or more such Courts in succession; or (b) has been for at least ten years an advocate of a High Court or of two or more such Courts in succession; or (c) is, in the opinion of the President, a distinguished jurist."
Who is considered to be a qualified candidate for the position of a Supreme Court Judge in India?,"A person shall not be qualified for appointment as a Judge of the Supreme Court unless he is a citizen of India and— (a) has been for at least five years a Judge of a High Court or of two or more such Courts in succession; or (b) has been for at least ten years an advocate of a High Court or of two or more such Courts in succession; or (c) is, in the opinion of the President, a distinguished jurist."
What does 'High Court' mean in the context of this clause?,"'High Court' means a High Court which exercises, or which at any time before the commencement of this Constitution exercised, jurisdiction in any part of the territory of India."
"What does it mean when 'High Court' is referred to as a court which exercises, or which at any time before the commencement of this Constitution exercised, jurisdiction in any part of the territory of India?","In this context, 'High Court' refers to a High Court as described in a specific clause."
How can a Judge of the Supreme Court be removed from his office?,A Judge of the Supreme Court shall not be removed from his office except by an order of the President passed after an address by each House of Parliament supported by a majority of the total membership of that House and by a majority of not less than two-thirds of the members of that House present and voting has been presented to the President in the same session for such removal on the ground of proved misbehaviour or incapacity.
"What is the procedure for the removal of a Judge of the Supreme Court, in case of proved misbehaviour or incapacity, as per the Constitution?",A Judge of the Supreme Court can be removed from his office by an order of the President. This order is passed after an address by each House of Parliament supported by a majority of the total membership of that House and by a majority of not less than two-thirds of the members of that House present and voting has been presented to the President in the same session.
What is the procedure before a Judge of the Supreme Court enters upon his office?,"Every person appointed to be a Judge of the Supreme Court shall, before he enters upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule."
"Who does a person appointed to be a Judge of the Supreme Court have to make and subscribe an oath or affirmation before, and when does this happen?","Every person appointed to be a Judge of the Supreme Court shall, before he enters upon his office, make and subscribe an oath or affirmation before the President, or some person appointed in that behalf by him."
Can a person who has held office as a Judge of the Supreme Court plead or act in any court or before any authority within the territory of India?,"No, a person who has held office as a Judge of the Supreme Court shall not plead or act in any court or before any authority within the territory of India."
Is it allowed for a person who has served as a Supreme Court Judge to plead or act in any court or before any authority in India?,"No, it is not allowed for a person who has served as a Supreme Court Judge to plead or act in any court or before any authority in India."
What is the National Judicial Appointments Commission?,"The National Judicial Appointments Commission is a commission consisting of the Chief Justice of India, two other senior Judges of the Supreme Court, the Union Minister in charge of Law and Justice, and two eminent persons nominated by a committee. The Commission is responsible for recommending persons for appointment as Chief Justice of India, Judges of the Supreme Court, Chief Justices of High Courts, recommending transfer of Chief Justices and other Judges of High Courts, and ensuring that the person recommended is of ability and integrity."
What are the responsibilities and composition of the National Judicial Appointments Commission in India?,"The National Judicial Appointments Commission is responsible for recommending persons for appointment as Chief Justice of India, Judges of the Supreme Court, Chief Justices of High Courts, recommending transfer of Chief Justices and other Judges of High Courts, and ensuring that the person recommended is of ability and integrity. It consists of the Chief Justice of India, two other senior Judges of the Supreme Court, the Union Minister in charge of Law and Justice, and two eminent persons nominated by a committee."
Who are the members of the National Judicial Appointments Commission?,"The members of the National Judicial Appointments Commission are the Chief Justice of India, two other senior Judges of the Supreme Court next to the Chief Justice of India, the Union Minister in charge of Law and Justice, and two eminent persons nominated by the committee consisting of the Prime Minister, the Chief Justice of India and the Leader of Opposition in the House of the People."
Who nominates the two eminent persons to be members of the National Judicial Appointments Commission?,"The two eminent persons are nominated by the committee consisting of the Prime Minister, the Chief Justice of India and the Leader of Opposition in the House of the People."
What are the duties of the National Judicial Appointments Commission?,"The duties of the National Judicial Appointments Commission include recommending persons for appointment as Chief Justice of India, Judges of the Supreme Court, Chief Justices of High Courts and other Judges of High Courts, recommending transfer of Chief Justices and other Judges of High Courts from one High Court to any other High Court, and ensuring that the person recommended is of ability and integrity."
"Who does the National Judicial Appointments Commission recommend for positions such as Chief Justice of India, Judges of the Supreme Court, Chief Justices of High Courts and other Judges of High Courts, and who is responsible for their transfers?",The National Judicial Appointments Commission is responsible for recommending persons for these positions and their transfers. They also ensure that the person recommended is of ability and integrity.
What is the tenure of an eminent person nominated to the National Judicial Appointments Commission?,An eminent person nominated to the National Judicial Appointments Commission is nominated for a period of three years and is not eligible for renomination.
What is the period of nomination and eligibility for renomination for an eminent person nominated to the National Judicial Appointments Commission?,An eminent person nominated to the National Judicial Appointments Commission is nominated for a period of three years and is not eligible for renomination.
What happens if there is a vacancy or defect in the constitution of the National Judicial Appointments Commission?,No act or proceedings of the National Judicial Appointments Commission shall be questioned or be invalidated merely on the ground of the existence of any vacancy or defect in the constitution of the Commission.
Can the acts or proceedings of the National Judicial Appointments Commission be questioned or invalidated due to any vacancy or defect in the commission's constitution?,"No, no act or proceedings of the National Judicial Appointments Commission shall be questioned or be invalidated merely on the ground of the existence of any vacancy or defect in the constitution of the Commission."
Who is empowered to regulate the procedure for the appointment of judges?,"Parliament may, by law, regulate the procedure for the appointment of Chief Justice of India and other Judges of the Supreme Court and Chief Justices and other Judges of High Courts and empower the Commission to lay down by regulations the procedure for the discharge of its functions, the manner of selection of persons for appointment."
"Who is responsible for setting the regulations for the discharge of functions, manner of selection of persons for appointment, and the procedure for the appointment of the Chief Justice of India, other Judges of the Supreme Court and Chief Justices and other Judges of High Courts?",Parliament may regulate these procedures by law and also empower the Commission to lay down these regulations.
Who determines the salaries of the Judges of the Supreme Court?,The salaries of the Judges of the Supreme Court are determined by Parliament by law.
Who are the salaries of the Supreme Court Judges determined by?,The salaries of the Supreme Court Judges are determined by Parliament.
"Who is entitled to determine the privileges, allowances, and rights of a Supreme Court Judge?","The privileges, allowances, and rights of a Supreme Court Judge are determined by or under law made by Parliament."
"Who or what determines the privileges, allowances, and rights of a Supreme Court Judge?","The privileges, allowances, and rights of a Supreme Court Judge are determined by or under law made by Parliament."
What happens when the office of Chief Justice of India is vacant?,"When the office of Chief Justice of India is vacant or the Chief Justice is unable to perform the duties of his office, the duties of the office shall be performed by such one of the other Judges of the Court as the President may appoint for the purpose."
Who performs the duties of the office when the Chief Justice of India is unable to perform the duties or the office is vacant?,"When the office of Chief Justice of India is vacant or the Chief Justice is unable to perform the duties of his office, the duties of the office shall be performed by such one of the other Judges of the Court as the President may appoint for the purpose."
Who can be appointed as an ad hoc Judge?,"If there is not a quorum of the Judges of the Supreme Court available to hold or continue any session of the Court, a Judge of a High Court who is duly qualified for appointment as a Judge of the Supreme Court can be appointed as an ad hoc Judge."
Under what circumstances can a Judge of a High Court who is duly qualified for appointment as a Judge of the Supreme Court be appointed as an ad hoc Judge?,"If there is not a quorum of the Judges of the Supreme Court available to hold or continue any session of the Court, a Judge of a High Court who is duly qualified can be appointed as an ad hoc Judge."
What is the duty of a Judge who has been designated as an ad hoc Judge?,"The duty of the Judge who has been designated as an ad hoc Judge is, in priority to other duties of his office, to attend the sittings of the Supreme Court."
What does a Judge who has been designated as an ad hoc Judge prioritize over his other duties?,The Judge who has been designated as an ad hoc Judge prioritizes attending the sittings of the Supreme Court over his other duties.
What powers does a judge have while attending the Supreme Court?,"A judge attending the Supreme Court has all the jurisdiction, powers and privileges, and shall discharge the duties, of a Judge of the Supreme Court."
"Who has all the jurisdiction, powers and privileges, and discharges the duties, of the Supreme Court?",A judge attending the Supreme Court has all these powers and duties.
Can a retired Judge attend sittings of the Supreme Court?,"Yes, a retired Judge can attend sittings of the Supreme Court if the National Judicial Appointments Commission requests with the previous consent of the President."
"Who needs to request for a retired Judge to attend sittings of the Supreme Court, and whose consent is required?","The National Judicial Appointments Commission needs to request for a retired Judge to attend sittings of the Supreme Court, with the previous consent of the President."
What are the retired Judges entitled to while sitting and acting in the Supreme Court?,"The retired Judges are entitled to such allowances as the President may by order determine and have all the jurisdiction, powers and privileges of a Judge of the Supreme Court."
"Who determines the allowances for retired Judges while sitting and acting in the Supreme Court and what jurisdiction, powers and privileges do they have?","The President determines the allowances for retired Judges while sitting and acting in the Supreme Court and they have all the jurisdiction, powers and privileges of a Judge of the Supreme Court."
What is the condition for a retired Judge to sit and act as a Judge of the Supreme Court?,The retired Judge needs to consent to sit and act as a Judge of the Supreme Court.
What is required for a retired Judge to sit and act as a Judge of the Supreme Court?,The retired Judge needs to consent to sit and act as a Judge of the Supreme Court.
What is the status of the Supreme Court as per the record?,The Supreme Court is a court of record and shall have all the powers of such a court including the power to punish for contempt of itself.
What powers does the Supreme Court have as a court of record?,"As a court of record, the Supreme Court shall have all the powers of such a court including the power to punish for contempt of itself."
Where does the Supreme Court sit?,"The Supreme Court sits in Delhi or in such other place or places, as the Chief Justice of India may, with the approval of the President, from time to time, appoint."
"Who has the authority to appoint the place or places where the Supreme Court sits, with the approval of the President?","The Chief Justice of India has the authority to appoint the place or places where the Supreme Court sits, with the approval of the President."
What is the original jurisdiction of the Supreme Court?,"The Supreme Court has original jurisdiction in any dispute between the Government of India and one or more States, between the Government of India and any State or States on one side and one or more other States on the other, or between two or more States, if and in so far as the dispute involves any question."
In what types of disputes does the Supreme Court have original jurisdiction?,"The Supreme Court has original jurisdiction in any dispute between the Government of India and one or more States, between the Government of India and any State or States on one side and one or more other States on the other, or between two or more States, if and in so far as the dispute involves any question."
What does the jurisdiction not extend to according to the Constitution of India?,"The jurisdiction does not extend to a dispute arising out of any treaty, agreement, covenant, engagement, sanad or other similar instrument which, having been entered into or executed before the commencement of this Constitution, continues in operation after such commencement."
What type of dispute does the Constitution of India specify its jurisdiction does not extend to?,"The Constitution of India specifies that its jurisdiction does not extend to a dispute arising out of any treaty, agreement, covenant, engagement, sanad or other similar instrument which, having been entered into or executed before the commencement of this Constitution, continues in operation after such commencement."
Who has exclusive jurisdiction in regard to questions as to constitutional validity of Central laws according to the Constitution of India?,The Supreme Court has exclusive jurisdiction.
Which court has exclusive jurisdiction in regard to questions as to constitutional validity of Central laws according to the Constitution of India?,The Supreme Court
"When can an appeal lie to the Supreme Court from any judgment, decree or final order of a High Court in the territory of India?",An appeal can lie to the Supreme Court if the High Court certifies under article 134A that the case involves a substantial question of law as to the interpretation of this Constitution.
Under what conditions can a case from a High Court in the territory of India be appealed to the Supreme Court?,A case can be appealed to the Supreme Court if the High Court certifies under article 134A that the case involves a substantial question of law as to the interpretation of this Constitution.
What does the expression 'final order' include according to the Constitution of India?,"The expression 'final order' includes an order deciding an issue which, if decided in favour of the appellant, would be sufficient for the final disposal of the case."
"What would be sufficient for the final disposal of the case if decided in favour of the appellant, according to the Constitution of India?","An order deciding an issue, termed as a 'final order', would be sufficient for the final disposal of the case if decided in favour of the appellant."
"When can an appeal lie to the Supreme Court from any judgment, decree or final order in a civil proceeding of a High Court in the territory of India?",An appeal can lie to the Supreme Court if the High Court certifies under article 134A that the case involves a substantial question of law of general importance and that in the opinion of the High Court the said question needs to be decided by the Supreme Court.
Under what conditions can an appeal from a civil proceeding of a High Court in the territory of India lie to the Supreme Court?,An appeal can lie to the Supreme Court if the High Court certifies under article 134A that the case involves a substantial question of law of general importance and that in the opinion of the High Court the said question needs to be decided by the Supreme Court.
Can a party appeal to the Supreme Court under clause (1) on the grounds of a substantial question of law as to the interpretation of the Constitution?,"Yes, any party appealing to the Supreme Court under clause (1) may urge as one of the grounds in such appeal that a substantial question of law as to the interpretation of the Constitution has been wrongly decided."
Can a party urge that a substantial question of law as to the interpretation of the Constitution has been wrongly decided when appealing to the Supreme Court under clause (1)?,"Yes, any party appealing to the Supreme Court under clause (1) can make such a claim."
"Can one appeal to the Supreme Court from the judgment, decree or final order of one Judge of a High Court?","No, unless Parliament by law otherwise provides, no appeal shall lie to the Supreme Court from the judgment, decree or final order of one Judge of a High Court."
"Who has the authority to allow an appeal to the Supreme Court from the judgment, decree or final order of one Judge of a High Court?",The Parliament has the authority to allow such an appeal by law.
"When can an appeal lie to the Supreme Court from any judgment, final order or sentence in a criminal proceeding of a High Court?","An appeal can lie to the Supreme Court from any judgment, final order or sentence in a criminal proceeding of a High Court if the High Court has on appeal reversed an order of acquittal of an accused person and sentenced him to death, or has withdrawn for trial before itself any case from any court subordinate to its authority and has in such trial convicted the accused person and sentenced him to death, or certifies under article 134A that the case is a fit one for appeal to the Supreme Court."
"Under what circumstances can an appeal lie to the Supreme Court from a High Court's judgment, final order or sentence in a criminal proceeding?","An appeal can lie to the Supreme Court from a High Court's judgment, final order or sentence in a criminal proceeding if the High Court has on appeal reversed an order of acquittal of an accused person and sentenced him to death, or has withdrawn for trial before itself any case from any court subordinate to its authority and has in such trial convicted the accused person and sentenced him to death, or certifies under article 134A that the case is a fit one for appeal to the Supreme Court."
Can Parliament confer on the Supreme Court any further powers to entertain and hear appeals?,"Yes, Parliament may by law confer on the Supreme Court any further powers to entertain and hear appeals from any judgment, final order or sentence in a criminal proceeding of a High Court in the territory of India subject to such conditions and limitations as may be specified in such law."
"Can Parliament set conditions and limitations when conferring further powers on the Supreme Court to hear and entertain appeals from any judgment, final order or sentence in a criminal proceeding of a High Court in the territory of India?","Yes, Parliament can set such conditions and limitations as specified in the law."
When can a High Court issue a Certificate for appeal to the Supreme Court?,"A High Court may issue a Certificate for appeal to the Supreme Court if it deems fit so to do, on its own motion, and shall do so, if an oral application is made, by or on behalf of the party aggrieved."
Under what circumstances may a High Court issue a Certificate for appeal to the Supreme Court?,"A High Court may issue a Certificate for appeal to the Supreme Court if it deems fit so to do, on its own motion, and shall do so, if an oral application is made, by or on behalf of the party aggrieved."
What does article 135 of the Constitution of India state?,"Article 135 states that the jurisdiction and powers of the Federal Court under existing law will be exercisable by the Supreme Court until Parliament provides otherwise. The Supreme Court will have jurisdiction and powers with respect to any matter that the provisions of article 133 or article 134 do not apply to, if those powers were exercisable by the Federal Court before the commencement of the Constitution under any existing law."
"Which article of the Constitution of India states that the jurisdiction and powers of the Federal Court under existing law will be exercisable by the Supreme Court until Parliament provides otherwise, and that the Supreme Court will have jurisdiction and powers with respect to any matter that the provisions of article 133 or article 134 do not apply to, if those powers were exercisable by the Federal Court before the commencement of the Constitution under any existing law?",This is stated in Article 135 of the Constitution of India.
What is the purpose of article 136 in the Constitution of India?,"Article 136 allows the Supreme Court, in its discretion, to grant special leave to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India. However, this doesn't apply to any judgment, determination, sentence or order passed or made by any court or tribunal constituted by or under any law relating to the Armed Forces."
"Which article in the Constitution of India allows the Supreme Court to grant special leave to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India, excluding those passed or made by any court or tribunal constituted by or under any law relating to the Armed Forces?",Article 136 in the Constitution of India allows this.
What is stated in Article 137 of the Constitution of India?,"Article 137 of the Constitution of India states that, subject to the provisions of any law made by Parliament or any rules made under article 145, the Supreme Court shall have power to review any judgment pronounced or order made by it."
"Which article of the Constitution of India provides the Supreme Court the power to review any judgment pronounced or order made by it, subject to the provisions of any law made by Parliament or any rules made under article 145?",Article 137 of the Constitution of India provides this power to the Supreme Court.
What does article 138 of the Constitution of India mention?,Article 138 states that the Supreme Court will have further jurisdiction and powers with respect to any of the matters in the Union List as Parliament may by law confer. The Supreme Court will also have further jurisdiction and powers with respect to any matter as the Government of India and the Government of any State may by law confer.
"Which article of the Constitution of India specifies that the Supreme Court will have further jurisdiction and powers with respect to any of the matters in the Union List as Parliament may by law confer, and also with respect to any matter as the Government of India and the Government of any State may by law confer?",This is specified in Article 138 of the Constitution of India.
What powers may the Parliament confer on the Supreme Court according to article 139?,"Parliament may by law confer on the Supreme Court power to issue directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, or any of them, for any purposes other than those mentioned in clause (2) of article 32."
"What powers can be conferred on the Supreme Court by law, specifically in relation to issuing directions, orders, or writs, as stated outside of clause (2) of article 32?","According to article 139, Parliament may confer on the Supreme Court the power to issue directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, or any of them, for any purposes other than those mentioned in clause (2) of article 32."
What does article 139A of the constitution of India describe?,"Article 139A describes the transfer of certain cases. If cases involving the same or substantially the same questions of law are pending before the Supreme Court and one or more High Courts or before two or more High Courts and the Supreme Court is satisfied on its own motion or on an application made by the Attorney-General of India or by a party to any such case that such questions are substantial questions of general importance, the Supreme Court may withdraw the case or cases pending before the High Court or the High Courts and dispose of all the cases itself."
"What happens when cases involving the same or substantially the same questions of law are pending before the Supreme Court and one or more High Courts, or before two or more High Courts, and who has the authority to withdraw these cases?","According to Article 139A of the Indian Constitution, if such cases are pending and the Supreme Court is satisfied on its own motion or on an application made by the Attorney-General of India or by a party to any such case that such questions are substantial questions of general importance, the Supreme Court has the authority to withdraw the case or cases pending before the High Court or the High Courts and dispose of all the cases itself."
What does article 140 of the constitution of India provide?,Article 140 provides that Parliament may by law make provision for conferring upon the Supreme Court such supplemental powers not inconsistent with any of the provisions of this Constitution as may appear to be necessary or desirable for the purpose of enabling the Court more effectively to exercise the jurisdiction conferred upon it by or under this Constitution.
"What does the Indian Constitution allow Parliament to do in regards to conferring supplemental powers on the Supreme Court via legislation, according to a constitutional article?","According to Article 140 of the Indian Constitution, Parliament may by law make provision for conferring upon the Supreme Court such supplemental powers not inconsistent with any of the provisions of this Constitution as may appear to be necessary or desirable for the purpose of enabling the Court more effectively to exercise the jurisdiction conferred upon it by or under this Constitution."
Is the law declared by the Supreme Court binding on all courts within the territory of India?,Yes
Does the Supreme Court's declared law apply to all courts within Indian territory?,Yes
What powers does the Supreme Court have in doing complete justice in any cause or matter pending before it?,"The Supreme Court may pass such decree or make such order as is necessary, and any decree or order made shall be enforceable throughout the territory of India."
What can the Supreme Court do to enforce its decree or order throughout the territory of India in any cause or matter pending before it?,The Supreme Court may pass such decree or make such order as is necessary for doing complete justice.
Can the President consult the Supreme Court on a question of law or fact?,"Yes, the President can refer the question to the Supreme Court for consideration."
Who can refer a question to the Supreme Court for consideration?,The President can refer a question to the Supreme Court for consideration.
What happens when the President refers a question to the Supreme Court?,"The Supreme Court may, after such hearing as it thinks fit, report to the President its opinion on the question."
What does the Supreme Court do when the President refers a question to them?,"The Supreme Court may, after such hearing as it thinks fit, report to the President its opinion on the question."
Are civil and judicial authorities in the territory of India required to act in aid of the Supreme Court?,Yes
Is it mandatory for civil and judicial authorities in the territory of India to assist the Supreme Court?,Yes
What act repealed the special provisions as to disposal of questions relating to constitutional validity of laws?,"The Constitution (Forty-third Amendment) Act, 1977"
"What did The Constitution (Forty-third Amendment) Act, 1977 do?",It repealed the special provisions as to disposal of questions relating to constitutional validity of laws.
Who approves the rules made by the Supreme Court for regulating the practice and procedure of the Court?,The President
Who approves the rules made by the Supreme Court for regulating the practice and procedure of the Court?,The President
What does clause (1) of article 145 in the Constitution of India include?,"It includes rules pertaining to persons practising before the Court, procedure for hearing appeals, proceedings for enforcement of rights, proceedings under article 139A, entertainment of appeals under sub-clause (c) of clause (1) of article 134, conditions for review of judgment or order, costs of proceedings, granting of bail, stay of proceedings, summary determination of appeals, and procedure for inquiries referred to in clause (1) of article 317."
"Which article and clause of the Constitution of India includes rules pertaining to persons practising before the Court, procedure for hearing appeals, proceedings for enforcement of rights, proceedings under article 139A, entertainment of appeals under sub-clause (c) of clause (1) of article 134, conditions for review of judgment or order, costs of proceedings, granting of bail, stay of proceedings, summary determination of appeals, and procedure for inquiries referred to in clause (1) of article 317?",Clause (1) of article 145 in the Constitution of India includes these rules.
What can rules made under article 145 of the Constitution of India fix?,"They can fix the minimum number of Judges who are to sit for any purpose, and provide for the powers of single Judges and Division Courts."
What can be determined by the rules made under article 145 of the Constitution of India regarding the number of Judges and the powers of single Judges and Division Courts?,"They can fix the minimum number of Judges who are to sit for any purpose, and provide for the powers of single Judges and Division Courts."
Who decides a case involving a substantial question of law as per the Constitution of India?,The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law.
Who are required to sit for the purpose of deciding any case involving a substantial question of law as per the Constitution of India?,The minimum number of Judges
How many judges are required for the interpretation of this Constitution or for hearing any reference under article 143?,Five
What is the number of judges required for the interpretation of the Constitution or for hearing any reference under article 143?,Five
What should the Court do if it is satisfied that the appeal involves a substantial question of law as to the interpretation of the Constitution?,Such Court shall refer the question for opinion to a Court constituted as required by this clause for the purpose of deciding any case involving such a question and shall on receipt of the opinion dispose of the appeal in conformity with such opinion.
"What is the procedure for the Court to follow when a substantial question of constitutional law arises during an appeal, according to the clause?","The Court should refer the question for opinion to a Court constituted as required by this clause for the purpose of deciding any case involving such a question. Upon receiving the opinion, the Court should then dispose of the appeal in accordance with that opinion."
Where should the judgment be delivered by the Supreme Court?,In open Court
Where does the Supreme Court deliver its judgment?,In open Court
Who is responsible for the appointments of officers and servants of the Supreme Court?,The Chief Justice of India or such other Judge or officer of the Court as he may direct
Who can the Chief Justice of India direct to appoint officers and servants of the Supreme Court?,Other Judge or officer of the Court
What is the condition for a person not already attached to the Court to be appointed to any office connected with the Court?,"The President may require that in such cases, no person not already attached to the Court shall be appointed to any office connected with the Court, save after consultation with the Union Public Service Commission."
"Who has the authority to require that no person not already attached to the Court shall be appointed to any office connected with the Court, and who must they consult with?","The President has the authority to require that no person not already attached to the Court is appointed to any office connected with the Court, and they must consult with the Union Public Service Commission."
Who determines the conditions of service of officers and servants of the Supreme Court?,"Subject to the provisions of any law made by Parliament, the conditions of service of officers and servants of the Supreme Court shall be such as may be prescribed by rules made by the Chief Justice of India."
"Who makes the rules for the conditions of service of officers and servants of the Supreme Court, subject to any law made by Parliament?",The Chief Justice of India.
Who is authorised to make rules for the Supreme Court of India?,The Chief Justice of India or some other Judge or officer of the Court authorised by the Chief Justice of India
Who can the Chief Justice of India authorise to make rules for the Supreme Court of India?,Some other Judge or officer of the Court
What do the rules made for the Supreme Court of India need approval for?,"Salaries, allowances, leave or pensions"
What aspects of the Supreme Court of India do the rules need approval for?,"Salaries, allowances, leave or pensions"
"Who needs to approve the rules related to salaries, allowances, leave or pensions of the Supreme Court of India?",The President
"Who approves the rules related to salaries, allowances, leave, or pensions of the Supreme Court of India?",The President
What are the administrative expenses of the Supreme Court charged upon?,The Consolidated Fund of India
What is charged with the administrative expenses of the Supreme Court?,The Consolidated Fund of India
What does the Comptroller and Auditor-General of India need to do before they enter upon their office?,"Make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule"
Who does the Comptroller and Auditor-General of India make and subscribe an oath or affirmation to before entering office and according to which document?,"They make and subscribe an oath or affirmation before the President, or some person appointed in that behalf by him, according to the form set out in the Third Schedule"
Who appoints the Comptroller and Auditor-General of India?,The President
Who appoints the Comptroller and Auditor-General of India?,The President
Who determines the salary and other conditions of service of the Comptroller and Auditor-General of India?,Parliament by law
Who determines the salary and other conditions of service of the Comptroller and Auditor-General of India by law?,Parliament
Can the salary of a Comptroller and Auditor-General be varied to his disadvantage after his appointment?,No
Is it possible to alter the salary of a Comptroller and Auditor-General to his disadvantage after his appointment?,No
Is the Comptroller and Auditor-General eligible for further office under the Government of India or any State after he ceases to hold his office?,No
Is it true that the Comptroller and Auditor-General is not eligible for further office under the Government of India or any State after he ceases to hold his office?,Yes
Who prescribes the conditions of service for the Indian Audit and Accounts Department?,The conditions of service are prescribed by rules made by the President after consultation with the Comptroller and Auditor-General.
"Who makes the rules for the conditions of service for the Indian Audit and Accounts Department, and who are they consulted with?",The President makes the rules for the conditions of service after consulting with the Comptroller and Auditor-General.
What expenses are charged upon the Consolidated Fund of India?,"The administrative expenses of the office of the Comptroller and Auditor-General, including all salaries, allowances and pensions payable to or in respect of persons serving in that office, are charged upon the Consolidated Fund of India."
What is the purpose of the expenses charged upon the Consolidated Fund of India?,"The purpose of the expenses charged upon the Consolidated Fund of India is to cover the administrative expenses of the office of the Comptroller and Auditor-General, including all salaries, allowances and pensions payable to or in respect of persons serving in that office."
Who performs duties and exercises powers in relation to the accounts of the Union and of the States?,The Comptroller and Auditor-General.
What is the role of The Comptroller and Auditor-General in relation to the accounts of the Union and of the States?,They perform duties and exercise powers.
Who advises on the form of accounts of the Union and of the States?,"The President, on the advice of the Comptroller and Auditor-General of India."
Who advises the President on the form of accounts of the Union and of the States?,The Comptroller and Auditor-General of India
Who submits the reports of the Comptroller and Auditor-General of India relating to the accounts of a State?,The reports are submitted to the Governor of the State.
To whom are the reports of the Comptroller and Auditor-General of India relating to the accounts of a State submitted?,The reports are submitted to the Governor of the State.
What does the Governor of a State do with the reports of the Comptroller and Auditor-General of India?,The Governor shall cause them to be laid before the Legislature of the State.
Who is responsible for presenting the reports of the Comptroller and Auditor-General of India to the Legislature of the State?,The Governor of a State is responsible for this.
Does the expression 'State' include the State of Jammu and Kashmir?,"No, the expression 'State' does not include the State of Jammu and Kashmir."
What does the expression 'State' exclude?,The expression 'State' excludes the State of Jammu and Kashmir.
Who is the executive power of the State vested in?,The executive power of the State shall be vested in the Governor.
In whom is the executive power of the State vested?,The executive power of the State is vested in the Governor.
Can the same person be appointed as Governor for two or more States?,"Yes, the same person can be appointed as Governor for two or more States."
Is it possible for a single individual to hold the position of Governor in multiple States simultaneously?,"Yes, the same person can be appointed as Governor for two or more States."
How is the Governor of a State appointed?,The Governor of a State is appointed by the President by warrant under his hand and seal.
